date	account	bipad	draws	sold
2014-03-05 00:00:00	1	90036	9.0	3.0
2014-03-12 00:00:00	1	90036	14.0	5.0
2014-03-19 00:00:00	1	90036	15.0	4.0
2014-03-26 00:00:00	1	90036	8.0	3.0
2014-03-06 00:00:00	1	90046	3.0	0.0
2014-03-13 00:00:00	1	90046	14.0	5.0
2014-03-20 00:00:00	1	90046	2.0	1.0
2014-03-27 00:00:00	1	90046	7.0	2.0
2014-03-07 00:00:00	1	90056	8.0	6.0
2014-03-14 00:00:00	1	90056	11.0	7.0
2014-03-21 00:00:00	1	90056	16.0	6.0
2014-03-28 00:00:00	1	90056	9.0	3.0
2014-03-01 00:00:00	1	90066	17.0	3.0
2014-03-08 00:00:00	1	90066	4.0	1.0
2014-03-15 00:00:00	1	90066	8.0	1.0
2014-03-22 00:00:00	1	90066	15.0	2.0
2014-03-29 00:00:00	1	90066	4.0	3.0
2014-03-02 00:00:00	1	90076	12.0	5.0
2014-03-09 00:00:00	1	90076	11.0	7.0
2014-03-16 00:00:00	1	90076	9.0	6.0
2014-03-23 00:00:00	1	90076	8.0	5.0
2014-03-30 00:00:00	1	90076	16.0	6.0
2014-04-07 00:00:00	1	90016	6.0	1.0
2014-04-14 00:00:00	1	90016	3.0	1.0
2014-04-21 00:00:00	1	90016	7.0	3.0
2014-04-28 00:00:00	1	90016	4.0	0.0
2014-04-01 00:00:00	1	90026	7.0	3.0
2014-04-08 00:00:00	1	90026	6.0	2.0
2014-04-15 00:00:00	1	90026	10.0	2.0
2014-04-22 00:00:00	1	90026	6.0	1.0
2014-04-29 00:00:00	1	90026	8.0	4.0
2014-04-02 00:00:00	1	90036	6.0	1.0
2014-04-09 00:00:00	1	90036	5.0	1.0
2014-04-16 00:00:00	1	90036	2.0	1.0
2014-04-23 00:00:00	1	90036	1.0	0.0
2014-04-30 00:00:00	1	90036	6.0	3.0
2014-04-03 00:00:00	1	90046	11.0	6.0
2014-04-10 00:00:00	1	90046	9.0	3.0
2014-04-17 00:00:00	1	90046	4.0	4.0
2014-04-24 00:00:00	1	90046	4.0	1.0
2014-04-04 00:00:00	1	90056	4.0	0.0
2014-04-11 00:00:00	1	90056	5.0	3.0
2014-04-18 00:00:00	1	90056	6.0	4.0
2014-04-25 00:00:00	1	90056	6.0	2.0
2014-04-05 00:00:00	1	90066	11.0	4.0
2014-04-12 00:00:00	1	90066	4.0	0.0
2014-04-19 00:00:00	1	90066	2.0	2.0
2014-04-26 00:00:00	1	90066	7.0	1.0
2014-04-06 00:00:00	1	90076	11.0	7.0
2014-04-13 00:00:00	1	90076	6.0	3.0
2014-04-20 00:00:00	1	90076	19.0	11.0
2014-04-27 00:00:00	1	90076	10.0	10.0
2014-05-05 00:00:00	1	90016	9.0	-5.0
2014-05-12 00:00:00	1	90016	4.0	-2.0
2014-05-19 00:00:00	1	90016	6.0	-3.0
2014-05-26 00:00:00	1	90016	6.0	-4.0
2014-05-06 00:00:00	1	90026	6.0	2.0
